symbol,S,K,r,sigma,T,isCall
MSFT_P_390_783,386.74,390.50,0.0426,0.1567,1.7431,0
AMD_P_133_784,128.87,133.24,0.0429,0.3661,1.2400,0
GOOGL_C_136_785,136.38,136.61,0.0420,0.2073,0.3336,1
SPY_C_60_786,53.77,60.72,0.0354,0.3904,0.2900,1
SPY_C_229_787,229.26,229.53,0.0498,0.2791,0.5214,1
AMD_C_207_788,198.63,207.95,0.0331,0.3600,1.3410,1
TSLA_C_86_789,91.70,86.02,0.0452,0.2731,1.7605,1
AMD_P_317_790,314.42,317.75,0.0372,0.3374,0.5622,0
QQQ_C_387_791,419.58,387.36,0.0400,0.2257,0.6561,1
TSLA_P_282_792,319.43,282.10,0.0337,0.2271,0.4809,0
SPY_C_361_793,371.47,361.34,0.0469,0.3053,1.1229,1
GOOGL_P_121_794,133.14,121.76,0.0493,0.3810,1.4359,0
AMZN_P_90_795,83.93,90.55,0.0451,0.3450,0.7550,0
AMD_P_287_796,314.04,287.79,0.0344,0.2670,0.5406,0
MSFT_P_202_797,196.51,202.32,0.0486,0.3236,1.6283,0
NVDA_C_304_798,352.97,304.50,0.0335,0.2000,1.9492,1
SPY_P_156_799,169.75,156.59,0.0386,0.3381,0.4928,0
MSFT_P_322_800,289.44,322.63,0.0372,0.1767,1.7529,0
AMD_C_304_801,294.25,304.82,0.0457,0.2635,0.6546,1
META_P_160_802,163.36,160.07,0.0357,0.2319,0.9966,0
AMZN_P_228_803,201.62,228.05,0.0341,0.2859,0.8577,0
AMD_P_106_804,95.68,106.11,0.0494,0.3443,0.4328,0
TSLA_P_340_805,297.27,340.53,0.0422,0.3921,1.8749,0
SPY_P_392_806,448.04,392.25,0.0355,0.1633,0.1765,0
MSFT_P_59_807,64.91,59.44,0.0489,0.2153,1.1596,0
NVDA_C_197_808,189.20,197.31,0.0426,0.3944,1.8310,1
GOOGL_P_434_809,460.00,434.98,0.0490,0.2130,0.2787,0
META_P_265_810,300.88,265.71,0.0315,0.3598,1.5064,0
TSLA_P_161_811,184.50,161.37,0.0468,0.2156,0.4357,0
MSFT_C_313_812,316.99,313.70,0.0440,0.1967,0.9708,1
AMZN_P_426_813,451.88,426.54,0.0482,0.3440,0.1337,0
META_P_207_814,237.64,207.84,0.0455,0.3768,0.5072,0
MSFT_P_46_815,52.08,46.19,0.0400,0.1872,0.2233,0
META_C_305_816,335.04,306.00,0.0425,0.2893,1.6903,1
NVDA_P_220_817,205.14,220.40,0.0372,0.1999,0.1450,0
AMZN_P_195_818,200.14,195.58,0.0479,0.3119,0.3139,0
MSFT_C_490_819,433.24,490.82,0.0402,0.3246,1.2897,1
AMZN_P_142_820,146.34,142.14,0.0315,0.3680,0.8433,0
AMD_C_279_821,276.77,279.69,0.0306,0.3091,1.7445,1
AAPL_P_171_822,165.03,171.01,0.0480,0.1514,0.1106,0
SPY_C_344_823,403.47,344.61,0.0381,0.2755,0.9824,1
META_C_186_824,166.25,186.40,0.0489,0.3015,1.9571,1
MSFT_P_248_825,281.15,248.40,0.0364,0.3797,1.8206,0
AMZN_C_71_826,78.38,71.76,0.0311,0.2308,1.3805,1
META_P_287_827,329.94,287.67,0.0365,0.3541,1.7342,0
GOOGL_C_473_828,435.13,473.50,0.0318,0.3299,1.4710,1
AMZN_C_231_829,205.88,231.29,0.0423,0.2616,0.6536,1
NVDA_C_530_830,498.76,530.69,0.0313,0.3053,1.2611,1
QQQ_C_510_831,499.79,510.26,0.0409,0.3197,1.5365,1
TSLA_C_480_832,438.06,480.97,0.0483,0.2096,0.6999,1
AAPL_C_115_833,102.65,115.11,0.0459,0.3620,0.4657,1
MSFT_C_163_834,181.43,163.68,0.0367,0.2202,1.4071,1
NVDA_C_371_835,401.11,371.04,0.0388,0.1986,1.6479,1
QQQ_P_176_836,189.36,176.68,0.0426,0.2628,1.1337,0
AMZN_P_179_837,173.49,179.80,0.0384,0.3141,0.6577,0
AMD_P_144_838,149.49,144.59,0.0385,0.3913,0.7177,0
TSLA_C_263_839,260.90,263.72,0.0425,0.1702,0.6442,1
TSLA_C_313_840,282.49,313.74,0.0332,0.3010,1.1894,1
QQQ_C_227_841,241.54,227.98,0.0373,0.1999,1.4309,1
AMD_C_380_842,430.54,380.82,0.0474,0.3967,1.3517,1
META_P_323_843,321.43,323.38,0.0447,0.1722,1.3020,0
AMZN_P_317_844,369.92,317.52,0.0451,0.3841,1.6012,0
SPY_P_499_845,474.22,499.84,0.0423,0.3742,0.6518,0
AAPL_C_53_846,58.84,53.83,0.0460,0.2897,0.2564,1
AMD_P_224_847,218.37,224.72,0.0456,0.3699,0.8872,0
AAPL_C_85_848,91.85,85.75,0.0447,0.2894,1.4321,1
TSLA_P_185_849,168.37,185.31,0.0490,0.2251,1.0037,0
QQQ_P_534_850,464.86,534.22,0.0410,0.1784,1.8034,0
QQQ_C_147_851,144.93,147.11,0.0301,0.3611,1.4403,1
META_C_411_852,386.44,411.11,0.0312,0.1538,1.9160,1
GOOGL_C_224_853,257.26,224.80,0.0494,0.1548,1.6243,1
QQQ_P_95_854,88.54,95.99,0.0489,0.3265,0.9099,0
AMZN_C_364_855,428.02,364.43,0.0316,0.2468,0.3780,1
AMD_P_288_856,335.47,288.20,0.0449,0.3450,1.7111,0
AMZN_P_197_857,195.57,197.55,0.0469,0.3840,0.5965,0
MSFT_C_314_858,280.48,314.04,0.0499,0.2223,1.3824,1
QQQ_C_464_859,465.44,464.65,0.0411,0.1940,0.8980,1
META_P_397_860,450.71,397.68,0.0451,0.1796,1.7143,0
META_C_435_861,468.55,435.31,0.0390,0.3982,1.4969,1
GOOGL_P_130_862,151.37,130.27,0.0419,0.3347,1.8852,0
AAPL_P_392_863,423.90,392.51,0.0427,0.2684,0.4151,0
NVDA_P_282_864,294.60,282.26,0.0387,0.3449,0.2794,0
TSLA_P_417_865,467.25,417.30,0.0488,0.2517,0.6382,0
SPY_P_211_866,233.48,211.18,0.0318,0.2789,1.8331,0
META_P_265_867,303.04,265.40,0.0305,0.2760,0.1947,0
QQQ_P_498_868,474.12,498.02,0.0337,0.3503,1.0361,0
TSLA_P_432_869,421.33,432.02,0.0421,0.1599,0.6111,0
META_C_186_870,189.09,186.94,0.0495,0.3409,0.2486,1
AAPL_C_165_871,177.59,165.17,0.0302,0.1576,1.0153,1
SPY_C_261_872,294.32,261.91,0.0407,0.2473,0.5131,1
META_P_442_873,406.35,442.28,0.0327,0.2945,1.8550,0
META_P_81_874,75.16,81.25,0.0338,0.2534,1.4705,0
NVDA_P_268_875,238.59,268.47,0.0458,0.1999,1.8228,0
AMD_C_301_876,347.93,301.24,0.0408,0.3427,1.5079,1
META_P_323_877,317.69,323.73,0.0405,0.2855,0.5069,0
META_P_257_878,288.68,257.33,0.0370,0.2315,0.1258,0
AAPL_P_248_879,268.44,248.59,0.0403,0.2151,0.3535,0
META_P_312_880,350.95,312.69,0.0413,0.2801,0.4690,0
TSLA_C_245_881,248.65,245.97,0.0395,0.2181,0.9622,1
QQQ_P_364_882,345.35,364.29,0.0366,0.3351,1.4697,0
NVDA_C_55_883,61.73,55.53,0.0389,0.2399,1.0901,1
NVDA_C_143_884,126.10,143.18,0.0350,0.1677,1.1874,1
QQQ_P_67_885,74.42,67.69,0.0479,0.3671,0.4118,0
AAPL_C_326_886,333.13,326.02,0.0399,0.2761,0.8481,1
META_P_64_887,66.66,64.90,0.0315,0.2353,0.1457,0
MSFT_C_418_888,382.78,418.54,0.0422,0.3834,0.3933,1
QQQ_C_326_889,300.10,326.26,0.0363,0.3155,0.2519,1
NVDA_C_216_890,237.86,216.43,0.0368,0.2859,0.5728,1
QQQ_P_228_891,220.53,228.13,0.0455,0.1561,1.7981,0
MSFT_P_393_892,438.70,393.70,0.0491,0.2406,0.5599,0
AAPL_C_370_893,409.42,370.82,0.0456,0.2211,1.8929,1
SPY_C_64_894,57.77,64.87,0.0444,0.1851,0.2490,1
QQQ_P_319_895,309.26,319.23,0.0335,0.2266,1.6884,0
AMZN_C_439_896,489.40,439.03,0.0309,0.2462,0.1921,1
AAPL_P_513_897,493.82,513.03,0.0347,0.2989,0.9579,0
MSFT_P_201_898,196.23,201.35,0.0365,0.2459,0.4200,0
AMD_P_52_899,61.25,52.32,0.0393,0.2068,1.0913,0
AMD_P_244_900,273.20,244.77,0.0364,0.2042,0.9740,0
QQQ_C_224_901,239.55,224.08,0.0316,0.2858,1.5044,1
AMZN_P_365_902,422.21,365.12,0.0361,0.3119,0.7352,0
GOOGL_C_188_903,196.42,188.17,0.0380,0.2498,1.7385,1
GOOGL_P_147_904,171.28,147.69,0.0472,0.1720,0.3274,0
MSFT_P_386_905,351.53,386.96,0.0343,0.2430,0.6955,0
NVDA_P_215_906,232.05,215.45,0.0369,0.2238,0.3812,0
TSLA_C_101_907,101.43,101.66,0.0483,0.3249,0.4887,1
AAPL_P_198_908,179.19,198.46,0.0463,0.2766,1.3342,0
META_P_119_909,134.39,119.71,0.0463,0.2903,0.3786,0
TSLA_P_185_910,185.47,185.13,0.0454,0.2737,1.5974,0
MSFT_P_51_911,55.48,51.40,0.0379,0.3327,0.3195,0
QQQ_P_417_912,398.38,417.36,0.0462,0.2848,1.1936,0
MSFT_P_253_913,256.81,253.05,0.0330,0.1978,0.5053,0
META_C_320_914,366.56,320.71,0.0439,0.2156,1.9386,1
TSLA_P_318_915,340.44,318.96,0.0403,0.2086,0.6217,0
SPY_P_100_916,97.28,100.84,0.0462,0.2053,0.8935,0
SPY_C_446_917,465.21,446.79,0.0412,0.2992,0.1225,1
GOOGL_C_336_918,353.24,336.85,0.0339,0.3321,1.6171,1
META_P_267_919,275.98,267.35,0.0431,0.1858,1.0392,0
SPY_C_547_920,477.63,547.99,0.0480,0.2919,0.2997,1
QQQ_C_190_921,170.62,190.66,0.0313,0.1950,0.2944,1
AMZN_C_136_922,147.00,136.95,0.0412,0.1861,1.6223,1
TSLA_P_348_923,409.42,348.61,0.0405,0.2938,1.1476,0
SPY_P_433_924,457.58,433.05,0.0310,0.2666,1.2156,0
AAPL_P_276_925,293.24,276.47,0.0423,0.3352,0.2403,0
NVDA_C_412_926,368.33,412.07,0.0452,0.3913,0.4546,1
AMD_C_259_927,232.22,259.48,0.0367,0.1795,1.0891,1
GOOGL_P_135_928,130.93,135.50,0.0473,0.3485,1.5241,0
TSLA_P_179_929,161.64,179.88,0.0333,0.1740,1.6020,0
META_P_339_930,341.78,339.97,0.0376,0.2574,1.0683,0
META_C_138_931,158.65,138.79,0.0373,0.3075,1.4281,1
AAPL_P_373_932,331.30,373.97,0.0428,0.1544,1.8842,0
AAPL_P_119_933,115.50,119.51,0.0372,0.3967,0.2416,0
MSFT_P_302_934,272.94,302.40,0.0463,0.1934,1.8855,0
GOOGL_C_446_935,448.92,446.76,0.0420,0.1739,0.7537,1
TSLA_C_298_936,314.13,298.91,0.0384,0.3809,1.6961,1
AAPL_C_72_937,79.03,72.09,0.0405,0.2251,1.2345,1
NVDA_P_151_938,147.34,151.23,0.0326,0.3950,0.9706,0
AMD_P_70_939,67.18,70.63,0.0361,0.3687,0.8762,0
MSFT_P_356_940,405.73,356.65,0.0452,0.3762,0.3187,0
AMZN_P_199_941,210.39,199.08,0.0463,0.2415,1.3446,0
SPY_P_138_942,125.07,138.14,0.0414,0.2939,0.5569,0
META_C_95_943,96.99,95.59,0.0495,0.1835,0.6022,1
NVDA_P_441_944,414.55,441.36,0.0327,0.1767,1.4863,0
AAPL_C_168_945,163.26,168.49,0.0476,0.1503,0.5255,1
NVDA_P_215_946,243.10,215.55,0.0338,0.2068,0.7769,0
META_P_350_947,410.16,350.20,0.0496,0.2533,1.1116,0
TSLA_P_208_948,187.89,208.12,0.0405,0.3055,1.5878,0
AAPL_P_66_949,60.01,66.33,0.0361,0.3884,1.0490,0
META_C_131_950,122.35,131.03,0.0493,0.3056,1.3659,1
NVDA_C_527_951,489.32,527.21,0.0316,0.1565,1.7332,1
QQQ_C_108_952,125.03,108.80,0.0381,0.3583,0.8610,1
AMZN_P_168_953,184.34,168.65,0.0456,0.2734,0.4614,0
AMD_P_498_954,491.22,498.64,0.0338,0.2043,1.2754,0
GOOGL_P_105_955,119.12,105.51,0.0451,0.3484,0.8037,0
MSFT_C_192_956,202.63,192.11,0.0302,0.2593,1.5143,1
MSFT_C_260_957,243.38,260.69,0.0308,0.3905,1.1160,1
TSLA_C_420_958,366.27,420.63,0.0384,0.2846,1.4895,1
MSFT_C_134_959,132.36,134.76,0.0397,0.1955,0.6390,1
META_C_180_960,160.67,180.42,0.0429,0.3934,0.4400,1
AMD_C_148_961,155.73,148.31,0.0320,0.3589,1.6374,1
QQQ_C_430_962,454.70,430.57,0.0357,0.3642,1.6686,1
AAPL_C_519_963,466.38,519.29,0.0499,0.2159,1.4859,1
QQQ_P_260_964,253.79,260.53,0.0457,0.3871,0.8387,0
AMD_C_404_965,381.35,404.77,0.0472,0.2071,1.2714,1
AAPL_P_286_966,263.92,286.30,0.0395,0.3604,1.7562,0
NVDA_P_180_967,168.05,180.35,0.0438,0.1923,0.4372,0
AMD_P_463_968,408.89,463.94,0.0325,0.1830,0.6247,0
QQQ_C_461_969,465.61,461.87,0.0352,0.3242,0.3807,1
TSLA_C_298_970,347.51,298.72,0.0475,0.3139,0.6095,1
GOOGL_C_100_971,111.43,100.62,0.0418,0.3806,1.6088,1
AMZN_C_295_972,283.88,295.32,0.0346,0.2661,0.7613,1
GOOGL_P_400_973,442.02,400.69,0.0353,0.3964,1.2012,0
QQQ_P_88_974,94.96,88.27,0.0469,0.2683,1.2093,0
SPY_C_228_975,200.35,228.97,0.0370,0.2779,1.2682,1
SPY_P_88_976,79.38,88.37,0.0492,0.2120,1.2722,0
MSFT_P_401_977,370.70,401.81,0.0383,0.3187,1.5517,0
NVDA_P_301_978,274.76,301.01,0.0459,0.2948,0.2902,0
META_P_263_979,239.05,263.79,0.0440,0.2410,0.5988,0
GOOGL_C_167_980,190.99,167.89,0.0433,0.3255,0.2284,1
AAPL_P_257_981,287.75,257.01,0.0380,0.2941,0.4811,0
SPY_P_390_982,412.23,390.10,0.0433,0.1947,1.7635,0
SPY_P_146_983,167.62,146.30,0.0321,0.2714,0.7743,0
AAPL_C_159_984,167.50,159.71,0.0386,0.3477,1.9839,1
AAPL_C_314_985,341.82,314.60,0.0404,0.1932,1.2355,1
AAPL_C_52_986,53.23,52.73,0.0457,0.3429,1.0956,1
SPY_C_196_987,194.75,196.66,0.0413,0.1935,1.2272,1
QQQ_P_195_988,215.14,195.02,0.0436,0.1536,1.6617,0
QQQ_C_493_989,465.73,493.23,0.0362,0.1832,0.5622,1
AAPL_C_90_990,105.70,90.74,0.0319,0.3653,0.7571,1
QQQ_P_425_991,403.95,425.95,0.0329,0.2352,1.7589,0
MSFT_P_357_992,363.43,357.64,0.0409,0.3362,1.8248,0
META_C_511_993,459.22,511.18,0.0319,0.1563,0.1355,1
MSFT_C_349_994,400.69,349.96,0.0481,0.2702,0.1382,1
MSFT_P_58_995,62.25,58.02,0.0482,0.3268,0.5038,0
AAPL_P_194_996,202.79,194.59,0.0319,0.2260,0.7437,0
META_P_439_997,460.07,439.92,0.0410,0.1929,0.9413,0
TSLA_P_370_998,424.82,370.18,0.0323,0.1975,1.5810,0
AMZN_P_436_999,401.50,436.88,0.0306,0.3834,0.3030,0
